rec-id,first_name,second_name,last_name,region,birth_date,personal_id
rec-0086-org,MICHALINA,ISABELA,GRABARCZYK,ŚLĄSKIE,03/02/1992,NPL985713
rec-0087-org,OLIWIA,ANASTAZJA,KOŁODZIEJ,ZACHODNIOPOMORSKIE,08/05/1956,HDW534161
rec-0088-org,MICHALINA,ELŻBIETA,BARAN,ŁÓDZKIE,02/05/1959,PTG305202
rec-0089-org,ALICJA,MARIA,KOMOROWSKA,ZACHODNIOPOMORSKIE,14/03/1933,ZCE525698
rec-0090-org,OLIWIA,BARBARA,DOLIŃSKA,KUJAWSKO-POMORSKIE,22/10/1983,MZR481652
rec-0091-org,WERONIKA,JOANNA,ZAKRZEWSKA,ŚLĄSKIE,18/09/1955,LPL690529
rec-0092-org,POLA,AMELIA,ZARZYCKA,PODKARPACKIE,13/03/1976,ARJ685151
rec-0093-org,ANIELA,HALINA,KRÓL,DOLNOŚLĄSKIE,21/12/1996,AYL270738
rec-0094-org,POLA,WERONIKA,CIESIELSKA,MAŁOPOLSKIE,24/06/1959,DNN556203
rec-0095-org,HANNA,NADZIEJA,KAWECKA,MAZOWIECKIE,30/12/1999,PCE028212
rec-0096-org,NADIA,ALICJA,HOFFMANN,PODKARPACKIE,23/02/1997,KNA362004
rec-0097-org,NADIIA,JULIA,ŁAWNICZAK,LUBELSKIE,07/10/2011,XSD750703
rec-0098-org,HELENA,GABRIELA,KOWALCZYK,WIELKOPOLSKIE,14/02/1991,TZG757469
rec-0099-org,SARA,MARIA,OLCZAK,WIELKOPOLSKIE,26/08/1986,JDR647918
rec-0100-org,JAGODA,MARIA,DĄBROWSKA,POMORSKIE,07/05/2013,CLR207957
rec-0101-org,POLA,MARIA,KACZMARCZYK,MAŁOPOLSKIE,23/02/1974,HFM106902
rec-0102-org,KORNELIA,WIKTORIA,MATUSZEWSKA,PODLASKIE,22/01/1956,HCZ688578
rec-0103-org,MATYLDA,JADWIGA,DOMAGAŁA,OPOLSKIE,04/07/1972,DPZ451771
rec-0104-org,POLA,ANNA,CICHA,LUBUSKIE,25/09/1995,FWT774840
rec-0105-org,NATALIA,OLGA,PIETRZYK,DOLNOŚLĄSKIE,17/06/1983,ZER980568
rec-0106-dup-0,IIZABELLA,LAÓRA,CHÓLEWA,KUJAWSKO-POMORSKIE,10/04/1967,
rec-0106-org,IZABELLA,LAURA,CHOLEWA,KUJAWSKO-POMORSKIE,10/04/1967,MHP526881
rec-0107-org,IGA,HALINA,NOWAK,ŚLĄSKIE,18/03/1955,EXR990464
rec-0108-org,ANTONINA,HELENA,WYRZYKOWSKA,MAZOWIECKIE,27/12/1952,HFM393872
rec-0109-org,ZOFIA,MAŁGORZATA,RUDNICKA,OPOLSKIE,16/12/2016,LAR526760
rec-0110-org,MAJA,ANIELA,KACZMARSKA,LUBELSKIE,14/01/1989,CGS894160
rec-0111-org,EMILIA,MAGDALENA,POPŁAWSKA,MAZOWIECKIE,02/06/1980,CMC053075
rec-0112-org,JULIA,ZOFIA,SZCZERBA,ŚLĄSKIE,09/08/1947,SRC467572
rec-0113-org,ZUZANNA,TERESA,GAWRON,DOLNOŚLĄSKIE,03/05/1944,XXL113051
rec-0114-org,BIANKA,MARIA,SKOWRON,ŁÓDZKIE,13/03/2003,FRR755633
rec-0115-org,LILIANNA,MARTA,MAZUR,ŚLĄSKIE,15/12/1957,YMJ248870
rec-0116-dup-0,LENA,ANIELA,GUTOVSKA,,,PEX5798e7
rec-0116-org,LENA,ANIELA,GUTOWSKA,POMORSKIE,31/01/1963,PEX579847
rec-0117-org,EMILIA,EWA,JANCZAK,ŚLĄSKIE,16/12/1945,SKZ697946
rec-0118-dup-0,YZABELA,KRYSTYNA,KANIA,,,TCE402835
rec-0118-dup-1,,KRYSTYNA,KANYA,,28/09/1977,TCE4029w5
rec-0118-org,IZABELA,KRYSTYNA,KANIA,ŚWIĘTOKRZYSKIE,28/09/1977,TCE402935
rec-0119-org,IRENA,EMILIA,BANAŚ,ZACHODNIOPOMORSKIE,12/12/1943,DKZ205395
rec-0120-dup-0,HELENA,JÓŻEFINA,KÓCHARSKA,MAZOWIECKIE,12/09/1908,JDA621787
rec-0120-dup-1,,JÓZEFINA,KUTZHARSKA,,,JDA621786
rec-0120-org,HELENA,JÓZEFINA,KUCHARSKA,MAZOWIECKIE,12/09/1980,JDA621786
rec-0121-dup-0,LAÓRA,GABRIELA,WITKOWSKA,,,
rec-0121-dup-1,LAÓRA,GABRIIELA,WITKOVSKA,ŚLĄSKIE,11/08/1951,GCL63i955
rec-0121-dup-2,LAURA,GABRYELA,WYTKOWSKA,ŚLĄSKIE,,GCL63i955
rec-0121-org,LAURA,GABRIELA,WITKOWSKA,ŚLĄSKIE,11/08/1951,GCL639955
rec-0122-org,ALICJA,TERESA,KULESZA,ŚLĄSKIE,17/12/1978,YNR180263
rec-0123-org,KLARA,VANESSA,GRZELAK,POMORSKIE,05/01/1949,DHL993424
rec-0124-dup-0,,TERESA,MYCHALAK,WARMIŃSKO-MAZURSKIE,16/11/1929,WKD526229
rec-0124-dup-1,EMYLI,TERESA,MITZHALAK,WARMIŃSKO-MAZURSKIE,16/11/1929,WKD5262q0
rec-0124-dup-2,,TERESA,MICHALAK,,,
rec-0124-org,EMILI,TERESA,MICHALAK,WARMIŃSKO-MAZURSKIE,16/11/1992,WKD526220
rec-0125-dup-0,ANTÓNINA,ANASTAŹJA,JUSŻCZAK,ZACHODNIOPOMORSKIE,29/10/1967,ZCX212726
rec-0125-dup-1,ANTÓNINA,ANASTAZJA,JUSZTZZAK,,29/10/1976,ZCX212826
rec-0125-dup-2,ANTONINA,ANASTAZJA,JUSZTZZAK,,29/10/1967,ZCX222726
rec-0125-org,ANTONINA,ANASTAZJA,JUSZCZAK,ZACHODNIOPOMORSKIE,29/10/1976,ZCX212726
rec-0126-dup-0,GABRIIELA,JOANNA,SRÓKA,ŁÓDZKIE,,NXL061759
rec-0126-org,GABRIELA,JOANNA,SROKA,ŁÓDZKIE,20/12/1983,NXL961759
rec-0127-org,LENA,NADIA,KUREK,ŚLĄSKIE,03/01/1984,FFN863208
rec-0128-org,JOANNA,MAJA,KOWALEWSKA,MAZOWIECKIE,11/03/2008,WGT277302
rec-0129-org,ALINA,ROZALIA,WYSOCKA,ZACHODNIOPOMORSKIE,13/08/1975,THL708242
rec-0130-org,ZUZANNA,ZOFIA,SZCZEPANIAK,PODKARPACKIE,28/04/1957,TEW470413
rec-0131-dup-0,,NATALIA,JABŁÓŃSKA,ZACHODNIOPOMORSKIE,13/05/1907,WJW133991
rec-0131-org,OLIWIA,NATALIA,JABŁOŃSKA,ZACHODNIOPOMORSKIE,13/05/1970,WJW143991
rec-0132-org,GABRIELA,HANNA,MICHALAK,ŚLĄSKIE,17/08/1982,ZLE150385
rec-0133-dup-0,HELENA,BOGUMIIŁA,MATYSYAK,,20/02/1998,FHC484848
rec-0133-dup-1,HELENA,BOGUMIWA,puste,,20/02/1989,FHC485848
rec-0133-org,HELENA,BOGUMIŁA,MATYSIAK,DOLNOŚLĄSKIE,20/02/1989,FHC484848
rec-0134-org,NADIIA,ZOFIA,SZYMAŃSKA,MAZOWIECKIE,30/04/1955,DTE167213
rec-0135-org,MARIA,JOANNA,BOROWIEC,PODKARPACKIE,23/01/1960,FFA211565
rec-0136-org,ZOFIA,ANNA,BORKOWSKA,PODLASKIE,18/04/1979,YSX949948
rec-0137-org,WANDA,RITA,KUKLA,ŁÓDZKIE,20/02/1969,RLS781088
rec-0138-org,SABINA,HELENA,KAWKA,MAZOWIECKIE,06/10/1955,HDS876524
rec-0139-org,KAROLINA,EMILIA,ROJEK,LUBELSKIE,12/03/1949,TXA316756
rec-0140-org,HANNA,DARIA,ZALEWSKA,MAŁOPOLSKIE,05/06/2001,RTX938012
rec-0141-org,LENA,ŁUCJA,WÓJCIK,ZACHODNIOPOMORSKIE,23/02/1963,DRM251752
rec-0142-dup-0,LYLIANA,PÓLA,SOWA,ŚLĄSKIE,,WDT60448u
rec-0142-dup-1,,POLA,puste,,20/10/1997,WDT604489
rec-0142-dup-2,,PÓLA,SOVA,,20/10/1997,WDT604488
rec-0142-org,LILIANA,POLA,SOWA,ŚLĄSKIE,20/10/1997,WDT604488
rec-0143-org,JULIA,KATARZYNA,BUCZKOWSKA,WIELKOPOLSKIE,02/09/1984,DFC766753
rec-0144-org,KLARA,LAURA,JÓŹWIAK,POMORSKIE,04/01/1999,YHH104209
rec-0145-org,MAJA,ZUZANNA,MAZUREK,MAŁOPOLSKIE,26/07/2003,ZSD036809
rec-0146-org,WERONIKA,GABRIELA,MUSIAŁ,DOLNOŚLĄSKIE,14/09/1985,WGY818155
rec-0147-org,JULIA,HELENA,KACPRZAK,WIELKOPOLSKIE,17/04/1943,MXF593827
rec-0148-org,ADA,JASMINE,WIĘCKOWSKA,PODLASKIE,05/11/1939,ZFD982208
rec-0149-org,LENA,JUSTYNA,KOŁODZIEJ,ZACHODNIOPOMORSKIE,05/07/1975,MGA373672
rec-0150-org,ANNA,TAMARA,ŚLUSARCZYK,KUJAWSKO-POMORSKIE,17/10/1996,MRH957155
rec-0151-org,MAGDALENA,CZESŁAWA,BURZYŃSKA,MAŁOPOLSKIE,08/10/1979,GHW838141
rec-0152-org,KINGA,ANNA,KSIĄŻEK,MAŁOPOLSKIE,18/04/1967,XEK460063
rec-0153-dup-0,AMELYA,MARTA,CŹECH,,05/02/1993,ZCN541100
rec-0153-org,AMELIA,MARTA,CZECH,DOLNOŚLĄSKIE,05/02/1993,ZCN641100
rec-0154-org,MAJA,JULIA,KOWALSKA,MAZOWIECKIE,12/08/2002,KPS705962
rec-0155-org,ELENA,ZOFIA,KWIECIEŃ,ŚLĄSKIE,01/05/1962,NRD560057
rec-0156-org,GAJA,ANTONINA,GRUDZIŃSKA,WIELKOPOLSKIE,02/11/1979,YSS169503
rec-0157-dup-0,OLIWIA,BARBARA,KOWALTZZUK,,17/01/1928,
rec-0157-dup-1,OLIWYA,BARBARA,puste,WIELKOPOLSKIE,,DKJ88r473
rec-0157-dup-2,OLIWYA,BARBARA,KOWALCZUK,,,DKJ885473
rec-0157-dup-3,OLIŁIA,BARBARA,KOWALTZZUK,WIELKOPOLSKIE,,DKJ884483
rec-0157-org,OLIWIA,BARBARA,KOWALCZUK,WIELKOPOLSKIE,17/01/1982,DKJ884473
rec-0158-dup-0,LAÓRA,ANNA,puste,,05/07/2009,
rec-0158-org,LAURA,ANNA,GOLA,WARMIŃSKO-MAZURSKIE,05/07/2009,GHJ382380
rec-0159-org,NINA,HELENA,MAJEWSKA,ŚLĄSKIE,27/04/1997,DPX912887
rec-0160-dup-0,LILYANA,ANNA,KOŻŁOWSKA,,18/06/1966,ZAH95140t
rec-0160-dup-1,LYLIANA,ANNA,KOŹŁOWSKA,MAZOWIECKIE,,ZAH952405
rec-0160-org,LILIANA,ANNA,KOZŁOWSKA,MAZOWIECKIE,18/06/1966,ZAH951405
rec-0161-org,HANNA,BEATA,PIETRZAK,MAŁOPOLSKIE,31/12/1992,SCX861406
rec-0162-org,NELA,ANNA,PAWLAK,ŚLĄSKIE,11/03/1971,WNP800079
rec-0163-org,MAGDALENA,LAURA,ADAMCZYK,DOLNOŚLĄSKIE,26/04/1935,HXC191896
rec-0164-org,ZOFIA,URSZULA,NOWAK,MAZOWIECKIE,01/04/1976,DYG153158
rec-0165-org,MALWINA,ANNA,KUBIK,MAZOWIECKIE,12/04/1984,ATW596841
rec-0166-dup-0,HANNA,DÓROTA,GOLINISKA,DOLNOŚLĄSKIE,,
rec-0166-dup-1,,DÓROTA,GOLINSKA,,26/07/1959,SRW706808
rec-0166-org,HANNA,DOROTA,GOLIŃSKA,DOLNOŚLĄSKIE,26/07/1959,SRW706808
rec-0167-org,ZOFIA,GRAŻYNA,GRACZYK,MAZOWIECKIE,16/12/1965,XFZ575118
rec-0168-dup-0,APÓLONIA,HANNA,WALKOVIAK,,23/12/2030,CAX309917
rec-0168-dup-1,APOLONYA,HANNA,WALKOŁIAK,ZACHODNIOPOMORSKIE,,CAX309017
rec-0168-dup-2,APOLONIIA,HANNA,WALKOWYAK,,,CAX309917
rec-0168-org,APOLONIA,HANNA,WALKOWIAK,ZACHODNIOPOMORSKIE,23/12/2003,CAX309917
rec-0169-org,MILENA,WIKTORIA,SOBCZYK,DOLNOŚLĄSKIE,15/07/2013,NRW847928
rec-0170-org,OLIWIA,JUSTYNA,WRÓBEL,DOLNOŚLĄSKIE,11/06/2014,HSD593399
rec-0171-org,JULIA,MARCELINA,KOPEĆ,ŚLĄSKIE,05/09/1938,NCX425360
rec-0172-org,MARCELINA,BARBARA,KĘDZIERSKA,ŚLĄSKIE,20/06/1971,MYM897453
rec-0173-org,AMELIA,MARZENA,ZAJĄC,PODKARPACKIE,23/07/1994,KCR919798
rec-0174-dup-0,ANTÓNINA,ANNA,STEFANYAK,PODLASKIE,,HTS312296
rec-0174-org,ANTONINA,ANNA,STEFANIAK,PODLASKIE,26/11/1973,HTS312206
rec-0175-org,MARIKA,KATARZYNA,JANIAK,MAZOWIECKIE,30/09/1936,LEN841308
rec-0176-org,LIWIA,KINGA,WRONA,WIELKOPOLSKIE,25/04/1976,TCJ193504
rec-0177-org,MARIA,EWA,STĘPIEŃ,ZACHODNIOPOMORSKIE,26/01/1978,HKD107716
rec-0178-dup-0,ŹLATA,LIDIA,STAWICKA,,08/06/1965,JTXi18626
rec-0178-dup-1,,LIDIA,puste,,08/06/1956,JTX81862t
rec-0178-org,ZLATA,LIDIA,STAWICKA,ŚLĄSKIE,08/06/1956,JTX818626
rec-0179-org,MAJA,KAROLINA,ŚWIĄTKOWSKA,LUBUSKIE,20/11/1976,ACZ249143
rec-0180-org,RÓŻA,ANTONINA,DOBRZYŃSKA,KUJAWSKO-POMORSKIE,03/08/1954,LZE706850
rec-0181-org,FRANCISZKA,EUGENIA,MAJEWSKA,ŁÓDZKIE,10/06/1966,FGR525307
rec-0182-org,ZOFIA,MARZANNA,ŻAK,ŚWIĘTOKRZYSKIE,07/01/2010,PFE297710
rec-0183-org,ZOJA,JULIA,KWIATKOWSKA,LUBELSKIE,19/03/1999,GPA929681
rec-0184-dup-0,ÓLIWIA,NOELIA,GAŁRON,WIELKOPOLSKIE,06/10/1986,ZKE828468
rec-0184-org,OLIWIA,NOELIA,GAWRON,WIELKOPOLSKIE,06/10/1968,ZKE829468
rec-0185-org,LENA,GLORIA,TWARDOWSKA,DOLNOŚLĄSKIE,22/08/1977,LGJ572996
rec-0186-org,LENA,DAGMARA,TOMASZEWSKA,MAŁOPOLSKIE,15/02/1966,JNZ506721
rec-0187-org,LAURA,AGNIESZKA,FIGURA,DOLNOŚLĄSKIE,29/11/2018,FDJ265015
rec-0188-org,ANASTAZJA,ŁUCJA,GARBACZ,ŚWIĘTOKRZYSKIE,22/04/2007,RPW105396
rec-0189-org,IGA,EWA,WYSOCKA,POMORSKIE,22/03/1939,ZXS471776
rec-0190-org,MARIA,ANNA,MICHALIK,DOLNOŚLĄSKIE,02/09/1978,EJE652965
rec-0191-org,LILIANA,JAGNA,SOKOŁOWSKA,OPOLSKIE,04/10/1953,KRG674716
rec-0192-org,ELIZAVETA,MARIA,FRANKOWSKA,ŚLĄSKIE,06/10/1976,WJE360965
rec-0193-org,LIWIA,RITA,MASŁOWSKA,ŚLĄSKIE,08/12/1970,RGP616359
rec-0194-org,ALEKSANDRA,ALICJA,BURY,PODLASKIE,06/01/1974,REP514000
rec-0195-org,POLA,KLARA,SZCZEPANIK,LUBELSKIE,08/09/1988,MME855866
rec-0196-dup-0,BLANKA,RUŻA,ŁOLIŃSKA,,,KEY323998
rec-0196-org,BLANKA,RÓŻA,WOLIŃSKA,ZACHODNIOPOMORSKIE,11/09/1995,KEY323998
